Skøien,415874
Datum margin,416821
BA5,417329
DK Capital,418372
Middelborg,200182
Beech Hill,400860
SP Cap 22,419317
Nordic Delta,405482
Eika,402636
Tonito,200232
Datum ikke margin,402429
Cmdc,200166
Caaby,401111
Insr,416926
Hubris,418352
Strawberry,406778
Håkon,411741
Julianus,404022
Klokere,417252
Norda,405342
Juline,418930
WhiteRock,415428
Hans Hvide,420260
Vendetta Margin,420560
Byens Marker,401065
Hayfin,420167
SKS Tankers,420157
Condire,420225
Versvik,419693
MH Capital - SEB,420670
Navesta,408349
Vanquish,414764
Akera,420800
Perestroika,419520
Anglo Supply,420867
Cawa Margin,419248
Vendetta,410685
Drew Holdings,402514
Pomor Holdings,419271
Vanquish Margin,415634
Songa Capital (SEB),419278
Jsk margin,420314
Mosjarl,417607
HM Holding,419924
RasmussenGruppen,406027
