FRO,CY0200352116,583230
TSLA,US88160R1014,547415
RIG,CH0048265513,547804
SLB,AN8068571086,576892
BABA,US01609W1027,547149
JD,US47215P1066,583817
NVDA,US67066G1040,547346
CVX,US1667641005,559456
MSFT,US5949181045,550978
XOM,US30231G1022,547785
SDRL,BMG7997W1029,547391
NE,GB00BMXNWH07,582777
GOOG,US02079K1079,547782
XOM,US30231G1022,547785
PYPL,US70450Y1038,547358
SNAP,US83304A1060,547395
VAL,BMG9460G1015,582070
META,US30303M1027,547241
OXY,US6745991058,561321
AMD,US0079031078,568466
SPXS,US25460E2651,583441
AAPL,US0378331005,547783
ORCL,US68389X1054,582582
QQQ,US46090E1038,582164
OIH,US92189H6071,557507
BORR,BMG1466R1732,582520
AMZN,US0231351067,547152
MANU,KYG5784H1065,581884
HKD,US00180N1019,583923
AMC,US00165C3025,577007
TDOC,US87918A1051,556755
STNG,MHY7542C1306,547390
NFLX,US64110L1061,547336
XOM,US30231G1022,547785
TDOC,US87918A1051,556755
NKLA,US6541101050,561152
SBLK,MHY8162K2046,558978
IOVA,US4622601007,584624
GOGL,BMG396372051,584384
SQQQ,US74347G4322,584516
SMCI,US86800U1043,584428
FSLR,US3364331070,582890
META,US30303M1027,547241
NBR,BMG6359F1370,583950
INFN,US45667G1031,583626
AA,US0138721065,582580
MSFT,US5949181045,550978
GME,US36467W1099,569720
HOLO,KYG550322088,584891
ADSEW,IE000SY2QWR8,584954
LRCX,US5128071082,583320
ARM,US0420682058,584655
CHWY,US16679L1098,585128
TNA,US25459W8477,585148
DJT,US25400Q1058,585149
DHT,MHY2065G1219,547211
TQQQ,US74347X8314,585188
IBIT,US46438F1012,584675
ZIM,IL0065100930,569647
SOXS,US25460G1123,585271
DHT,MHY2065G1219,547211
SMCI,US86800U1043,584428
TRMD,GB00BZ3CNK81,584627
ARM,US0420682058,584655
EQNR,US29446M1027,583685
AA,US0138721065,582580
HAFN,BMG4233B1090,584778
JPM,US46625H1005,547780
GDX,US92189F1066,557217
SPOT,LU1778762911,581577
GME,US36467W1099,569720
GSL,MHY271836006,580911
FCX,US35671D8570,548086
ZIM,IL0065100930,569647
IWM,US4642876555,581691
TNA,US25459W8477,585148
ULTA,US90384S3031,547429
SMCI,US86800U1043,584428
LUNR,US46125A1007,585277
DG,US2566771059,583039
STNG,MHY7542C1306,547390
SOXL,US25459W4583,585288
DQ,US23703Q2030,581616
CVNA,US1468691027,547185
INTC,US4581401001,547287
FDX,US31428X1063,547243
